Av0_dB BW_kHz GBW_MHz PM_deg GM_dB
25.1930 101.0020 1.8490 90.1040 -39.5310
21.0390 120.0290 1.3580 92.6070 -39.3020
21.0550 121.0000 1.3730 92.5250 -39.3020
25.4190 114.1120 2.1310 90.1860 -39.2790
25.4230 116.7260 2.1850 90.0150 -39.2780
23.5220 95.2750 1.4350 90.9750 -39.5350
23.5400 95.7270 1.4460 90.9280 -39.5350
27.4620 92.7790 2.1940 89.1350 -39.5080
27.4720 94.2040 2.2320 89.0320 -39.5070
22.5030 108.6550 1.4530 91.6910 -39.5600
22.5210 109.9470 1.4720 91.5840 -39.5600
26.3390 104.5670 2.1770 89.9050 -39.5310
26.3470 108.7400 2.2620 89.6310 -39.5310
24.9040 86.8240 1.5260 90.2480 -39.7800
24.9230 87.3980 1.5380 90.1920 -39.7800
28.1700 86.3320 2.2130 88.9360 -39.7400
28.1820 88.3640 2.2670 88.7950 -39.7390
    
MIN MIN MIN MIN MIN
21.0390 86.3320 1.3580 88.7950 -39.7800
MAX MAX MAX MAX MAX
28.1820 121.0000 2.2670 92.6070 -39.2780
absvar absvar absvar absvar absvar
7.1430 34.6680 0.9090 3.8120 0.5020
relvar_pmper relvar_pmper relvar_pmper relvar_pmper relvar_pmper
14.5121 16.7210 25.0759 2.1014 -0.6350
