# Logfile created on 2025-11-10 13:20:02 +0000 by logger.rb/v1.4.3
2025-11-10 13:20:02 +0000: Memory Usage (443744K) : Starting running IHP-SG13G2 Klayout DRC runset on /home/slice/xschem/tb_OTA_1stage_ihp/LAYOUT_demo/OTA.gds
2025-11-10 13:20:02 +0000: Memory Usage (443744K) : Ruby Version for klayout: 3.0.2
2025-11-10 13:20:02 +0000: Memory Usage (444864K) : Loading database to memory is complete.
2025-11-10 13:20:02 +0000: Memory Usage (444864K) : IHP-SG13G2 Klayout DRC runset output at: /home/slice/xschem/tb_OTA_1stage_ihp/LAYOUT_demo/drc_run_OTA_final/OTA_OTA_final_main.lyrdb
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : Evaluate switches.
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : table_name selected  main
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : Klayout will use 1 thread(s)
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : deep mode is enabled for main table.
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : FEOL enabled: true
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : BEOL enabled: true
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : OffGrid enabled: true
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : PreCheck DRC enabled: false
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : CONNECTIVITY_RULES enabled: true for table main
2025-11-10 13:20:02 +0000: Memory Usage (445024K) : Read in polygons from layers.
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_drw has 394 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_mask has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_iopc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : activ_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : biwind_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : biwind_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : pemwind_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : gatpoly_drw has 661 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : gatpoly_pin has 26 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : gatpoly_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : gatpoly_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : gatpoly_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : gatpoly_iopc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : gatpoly_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : cont_drw has 5589 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : cont_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : nsd_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (445984K) : nsd_block has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446144K) : metal1_drw has 902 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446144K) : metal1_pin has 73 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446144K) : metal1_mask has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446144K) : metal1_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446144K) : metal1_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446144K) : metal1_slit has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal1_text has 18 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal1_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal1_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal1_res has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal1_iprobe has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal1_diffprb has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : passiv_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : passiv_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : passiv_sbump has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : passiv_pillar has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : passiv_pdl has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal2_drw has 221 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal2_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal2_mask has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal2_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446464K) : metal2_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446624K) : metal2_slit has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446624K) : metal2_text has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446624K) : metal2_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446624K) : metal2_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : metal2_res has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : metal2_iprobe has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : metal2_diffprb has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : baspoly_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : baspoly_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : psd_drw has 26 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : nldb_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446784K) : digibnd_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446944K) : via1_drw has 250 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446944K) : backmetal1_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446944K) : backmetal1_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (446944K) : backmetal1_mask has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447104K) : backmetal1_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447104K) : backmetal1_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447104K) : backmetal1_slit has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447104K) : backmetal1_text has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447264K) : backmetal1_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447264K) : backmetal1_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447264K) : backmetal1_res has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447264K) : backmetal1_iprobe has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447424K) : backmetal1_diffprb has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447424K) : backpassiv_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447424K) : res_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447584K) : sram_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447584K) : trans_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447584K) : ind_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447584K) : ind_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447744K) : ind_text has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447744K) : salblock_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447744K) : via2_drw has 90 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447744K) : metal3_drw has 104 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447904K) : metal3_pin has 4 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447904K) : metal3_mask has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447904K) : metal3_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (447904K) : metal3_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448064K) : metal3_slit has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448064K) : metal3_text has 4 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448064K) : metal3_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448064K) : metal3_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448224K) : metal3_res has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448224K) : metal3_iprobe has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448224K) : metal3_diffprb has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448224K) : nwell_drw has 26 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448384K) : nwell_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448384K) : nbulay_drw has 1 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448384K) : nbulay_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448384K) : nbulay_block has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448544K) : emwind_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448544K) : emwind_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448544K) : deepco_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448544K) : deepco_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448704K) : mim_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448704K) : edgeseal_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448704K) : edgeseal_bound has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448864K) : substrate_drw has 12 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448864K) : substrate_text has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448864K) : dfpad_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (448864K) : dfpad_pillar has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449024K) : dfpad_sbump has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449024K) : thickgateox_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449024K) : pldb_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449024K) : pwell_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449184K) : pwell_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449184K) : pwell_block has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449184K) : ic_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449184K) : via3_drw has 45 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449344K) : metal4_drw has 34 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449344K) : metal4_pin has 1 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449344K) : metal4_mask has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449344K) : metal4_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449504K) : metal4_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449504K) : metal4_slit has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449504K) : metal4_text has 1 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449504K) : metal4_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449664K) : metal4_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449664K) : metal4_res has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449664K) : metal4_iprobe has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449664K) : metal4_diffprb has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449824K) : heattrans_drw has 256 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449824K) : heatres_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449824K) : pempoly_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449984K) : fbe_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449984K) : empoly_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449984K) : ldmos_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (449984K) : pbiwind_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450144K) : digisub_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450144K) : nodrc_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450144K) : text_drw has 47 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450144K) : via4_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450304K) : metal5_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450304K) : metal5_pin has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450304K) : metal5_mask has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450304K) : metal5_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450464K) : metal5_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450464K) : metal5_slit has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450464K) : metal5_text has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450464K) : metal5_opc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450624K) : metal5_noqrc has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450624K) : metal5_res has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450624K) : metal5_iprobe has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450624K) : metal5_diffprb has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450784K) : radhard_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450784K) : memcap_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450784K) : varicap_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450784K) : flash_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450944K) : intbondvia_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450944K) : intbondmet_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450944K) : devbondvia_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (450944K) : devbondmet_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451104K) : devtrench_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451104K) : redist_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451104K) : graphbot_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451264K) : graphtop_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451264K) : antvia1_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451264K) : antmetal2_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451264K) : graphcont_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451424K) : siwg_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451424K) : siwg_filler has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451424K) : siwg_nofill has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451424K) : sigrating_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451584K) : singrating_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451584K) : graphpas_drw has 0 polygons
2025-11-10 13:20:02 +0000: Memory Usage (451584K) : emwind3_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451584K) : emwihv3_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451744K) : redbulay_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451744K) : smos_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451744K) : graphpad_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451744K) : polimide_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451904K) : polimide_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451904K) : recog_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451904K) : recog_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (451904K) : recog_esd has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452064K) : recog_diode has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452064K) : recog_tsv has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452064K) : recog_iprobe has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452064K) : recog_diffprb has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452224K) : recog_pillar has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452224K) : recog_sbump has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452224K) : recog_otp has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452384K) : recog_pdiode has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452384K) : recog_mom has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452384K) : recog_pcm has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452384K) : colopen_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452544K) : graphmetal1_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452544K) : graphmetal1_filler has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452544K) : graphmetal1_nofill has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452544K) : graphmetal1_slit has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452704K) : graphmetal1_opc has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452704K) : graphmet1l_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452704K) : graphmet1l_filler has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452704K) : graphmet1l_nofill has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452864K) : graphmet1l_slit has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452864K) : graphmet1l_opc has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452864K) : extblock_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (452864K) : nldd_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453024K) : pldd_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453024K) : next_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453024K) : pext_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453024K) : nexthv_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453184K) : pexthv_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453184K) : graphgate_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453184K) : sinwg_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453184K) : sinwg_filler has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453344K) : sinwg_nofill has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453344K) : mempad_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453344K) : topvia1_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453344K) : topmetal1_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453504K) : topmetal1_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453504K) : topmetal1_mask has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453504K) : topmetal1_filler has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_nofill has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_slit has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_text has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453664K) : topmetal1_noqrc has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : topmetal1_res has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : topmetal1_iprobe has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : topmetal1_diffprb has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453824K) : inldpwl_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : polyres_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : polyres_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : vmim_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (453984K) : nbulaycut_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : antmetal1_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : topvia2_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : topmetal2_drw has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454144K) : topmetal2_pin has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_mask has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_filler has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_nofill has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454304K) : topmetal2_slit has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_text has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_noqrc has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_res has 0 polygons
2025-11-10 13:20:03 +0000: Memory Usage (454464K) : topmetal2_iprobe has 0 polygons
